step,train_loss,val_loss,lr,tokens_per_sec
100,5.504766,7.028838,0.00027222,3544.7
200,4.897578,6.750204,0.00017726,3563.4
300,4.785642,6.622152,0.00007439,3574.5
400,5.244645,6.623483,0.00003000,3571.4
