step,train_loss,val_loss,lr,tokens_per_sec
50,1.420185,1.940142,0.00002386,6195.1
100,2.132020,1.939581,0.00001862,5970.4
150,1.781912,1.938109,0.00001129,6103.4
200,2.372722,1.936395,0.00000502,6256.1
250,2.703180,1.935388,0.00000250,6221.4
