step,train_loss,val_loss,lr,tokens_per_sec
50,0.756596,1.965798,0.00003303,6202.0
100,1.806509,1.951511,0.00002226,6213.3
150,1.516411,1.943511,0.00000934,6474.0
200,3.152154,1.939748,0.00000350,6537.2
