step,train_loss,val_loss,lr,tokens_per_sec
50,3.094328,2.592832,0.00010000,3342.9
100,2.700815,1.986556,0.00009825,3864.9
150,1.102876,1.929432,0.00009299,4045.3
200,1.572559,1.922573,0.00008466,4203.6
250,1.264706,1.911211,0.00007393,4264.5
300,1.746182,1.914682,0.00006166,4337.9
350,1.117060,1.930027,0.00004885,4389.9
